"Id","Name","Hex__c"
"a1k4x000002iI74AAE","Lavender","#E6E6FA"
"a1k4x000002iI3uAAE","Red","#ee344b"
"a1k4x000002iI75AAE","Royal","#0056A4"
"a1k4x000002iI3vAAE","Grey/ Red","#dcdddb"
"a1k4x000002iI9ZAAU","RED WITH BLACK","C8102E"
"a1k4x000002iI76AAE","Black","#2d333c"
"a1k4x000002iUdKAAU","Midnight","#2c3952"
"a1k4x000002iUdLAAU","White/ Kelly","#eceded"
"a1k4x000002iUdMAAU","Black/ Athletic Grey","#0f1416"
"a1k4x000002iUdNAAU","Athletic Grey/ Navy","#c8cad0"
"a1k4x000002iUdOAAU","Black/ White","#0f1416"
"a1k4x000002iUdPAAU","White/ Black","#eceded"
"a1k4x000002iUdQAAU","Athletic Grey/ Black","#c8cad0"
"a1k4x000002iUdRAAU","Athletic Grey/ Royal","#c8cad0"
"a1k4x000002iUdSAAU","White/ Royal","#eceded"
"a1k4x000002iUdTAAU","Black","#0f1416"
"a1k4x000002iUdUAAU","White","#eceded"
"a1k4x000002iUdVAAU","Charcoal","#3c3c40"
"a1k4x000002iUdWAAU","Navy","#152538"
"a1k4x000002iUdXAAU","White","#e8e8e8"
"a1k4x000002iUdYAAU","Orange","#ea542a"
"a1k4x000002iUdZAAU","Navy","#303346"
"a1k4x000002iUdaAAE","Royal","#425ba9"
"a1k4x000002iUdbAAE","Red","#be2432"
"a1k4x000002iUdcAAE","Purple","#3c3a7a"
"a1k4x000002iUddAAE","Black","#262228"
"a1k4x000002iUdeAAE","Navy","#303346"
"a1k4x000002iUdfAAE","Red","#be2432"
"a1k4x000002iUdgAAE","Orange","#ea542a"
"a1k4x000002iUdhAAE","Royal","#425ba9"
"a1k4x000002iUdiAAE","Black/ White","#262228"
"a1k4x000002iUdjAAE","Royal/ Black","#425ba9"
"a1k4x000002iUdkAAE","Dark Green/ Black","#274a39"
"a1k4x000002iUdlAAE","White/ Black","#e8e8e8"
"a1k4x000002iUdmAAE","Navy/ White","#303346"
"a1k4x000002iUdnAAE","Red/ Black","#be2432"
"a1k4x000002iUdoAAE","Columbia Blue/ Black","#658dbb"
"a1k4x000002iUdpAAE","Vegas Gold/ Black","#e4cf9b"
"a1k4x000002iUdqAAE","Orange/ Black","#ea542a"
"a1k4x000002iUdrAAE","Tri Maroon","#c01630"
"a1k4x000002iUdsAAE","Solid Navy","#152538"
"a1k4x000002iUdtAAE","Solid White","#eceded"
"a1k4x000002iUduAAE","Tri Navy","#152538"
